Unnamed: 0.1,Unnamed: 0,index,region,technology,Existing_Cap_MW,Cap_Size,CapRes_1,CES,cluster,Commit,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,H2_TMR_1,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Old_Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Fuel,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,MinCapTag_1,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Min_Power,MUST_RUN,New_Build,num_units,Num_VRE_Bins,plant_id_eia,Ramp_Dn_Percentage,Ramp_Up_Percentage,Reg_Cost,Resource,RPS,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,unit_id_pudl,Up_Time,Old_Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,CCS_Rate
0,0,0,TX,Biomass,0.0,1.56,0.9,1,1,1,0,0,1.0,1.0,0,0,0.0,0,0,0,149833.0,158822.98,None,1.1,4.9,13.9,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.58,0,-1,44,0,"[50569.0, 50569.0, 50569.0, 50569.0, 50569.0, 50569.0, 54338.0, 55708.0, 56113.0, 56113.0, 56113.0, 56113.0, 56113.0, 56113.0, 56113.0, 56524.0, 56524.0, 56524.0, 56524.0, 56528.0, 56528.0, 56528.0, 56528.0, 56864.0, 56864.0, 56864.0, 56864.0, 56864.0, 56864.0, 57020.0, 57020.0, 57020.0, 57071.0, 57165.0, 57165.0, 57167.0, 57167.0, 58946.0, 58946.0, 58946.0, 59649.0, 59649.0, 59649.0, 59649.0]",1.0,1.0,0,biomass,1,0,0,0,0.0,0,1,"['50569_GEN1', '50569_GEN2', '50569_GEN3', '50569_GEN4', '50569_GEN5', '50569_GEN6', 1.0, 1.0, '56113_1', '56113_2', '56113_3', '56113_4', '56113_5', '56113_6', '56113_7', '56524_GEN1', '56524_GEN2', '56524_GEN3', '56524_GEN4', '56528_GEN1', '56528_GEN2', '56528_GEN3', '56528_GEN4', '56864_1', '56864_2', '56864_3', '56864_4', '56864_5', '56864_6', '57020_GEN1', '57020_GEN2', '57020_GEN3', '57071_1', '57165_GEN1', '57165_GEN2', '57167_GEN1', '57167_GEN2', '58946_ENG1', '58946_ENG2', '58946_ENG3', '59649_UNIT1', '59649_UNIT2', '59649_UNIT3', '59649_UNIT4']",0,4.91,5.2,0,0,1,0,0
1,1,1,TX,Conventional Hydroelectric,468.0,21.27,0.8,1,1,0,0,0,1.0,1.0,0,0,0.0,0,0,0,45648.0,48386.88,None,0.0,0.04,9.1,1,158.73,0.5,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.0,0,-1,22,0,"[3595.0, 3595.0, 3595.0, 3597.0, 3597.0, 3599.0, 3599.0, 3600.0, 3600.0, 3600.0, 6128.0, 6128.0, 6410.0, 6410.0, 6410.0, 6414.0, 6414.0, 6416.0, 6416.0, 7394.0, 7394.0, 7394.0]",0.08,0.08,0,conventional_hydroelectric,0,0,0,0,0.0,0,0,"['3595_1', '3595_2', '3595_3', '3597_1', '3597_2', '3599_1', '3599_2', '3600_1', '3600_2', '3600_3', '6128_1', '6128_2', '6410_1', '6410_2', '6410_3', '6414_1', '6414_2', '6416_1', '6416_2', '7394.0_1', '7394.0_2', '7394.0_3']",0,0.0,0.0,0,0,1,0,0
2,4,4,TX,Conventional Steam Coal,0.0,703.89,0.93,0,3,1,24,0,1.0,1.0,0,0,0.0,0,0,0,55102.15,58408.28,coal,0.3,0.25,10.36,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.36,0,-1,9,0,"[298.0, 298.0, 6179.0, 6179.0, 6179.0, 6180.0, 6180.0, 7097.0, 7097.0]",0.57,0.57,0,conventional_steam_coal,0,0,0,120,16.5,0,1,"[1.0, 2.0, 1.0, 2.0, 3.0, 1.0, 2.0, 1.0, 2.0]",24,1.82,1.93,0,0,1,0,0
3,5,5,TX,Conventional Steam Coal,0.0,554.52,0.93,0,4,1,24,0,1.0,1.0,0,0,0.0,0,0,0,60047.37,63650.22,coal,0.0,0.06,9.25,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.13,0,-1,5,0,"[6139.0, 6139.0, 6181.0, 6181.0, 56611.0]",0.57,0.57,0,conventional_steam_coal_1,0,0,0,120,16.5,0,1,"['6139.0_1', '6139.0_3', '6181.0_1', '6181.0_2', 1.0]",24,1.82,1.93,0,0,1,0,0
4,6,7,TX,Natural Gas Fired Combined Cycle,780.0,260.03,0.93,0,1,1,6,0,1.0,1.0,0,0,0.0,0,0,0,16001.0,16961.06,NG,0.18,0.18,11.35,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.58,0,-1,3,0,"[50043.0, 54676.0, 58151.0]",0.64,0.64,0,natural_gas_fired_combined_cycle,0,0,0,89,2.0,0,1,"[1.0, 1.0, 1.0]",6,4.42,4.68,0,0,1,0,0
5,7,8,TX,Natural Gas Fired Combined Cycle,2121.0,530.25,0.93,0,2,1,6,0,1.0,1.0,0,0,0.0,0,0,0,9496.0,10065.76,NG,0.12,0.08,10.41,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.64,0,-1,4,0,"[3469.0, 3469.0, 55187.0, 55357.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_1,0,0,0,89,2.0,0,1,"[2.0, 3.0, 1.0, 1.0]",6,3.5,3.71,0,0,1,0,0
6,8,10,TX,Natural Gas Fired Combined Cycle,4644.0,663.43,0.93,0,3,1,6,0,1.0,1.0,0,0,0.0,0,0,0,9496.0,10065.76,NG,0.27,0.15,7.2,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.46,0,-1,7,0,"[55062.0, 55123.0, 55137.0, 55154.0, 55172.0, 55172.0, 58005.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_2,0,0,0,89,2.0,0,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",6,3.5,3.71,0,0,1,0,0
7,9,11,TX,Natural Gas Fired Combined Cycle,746.0,248.57,0.93,0,4,1,6,0,1.0,1.0,0,0,0.0,0,0,0,16001.0,16961.06,NG,0.16,0.18,9.01,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.46,0,-1,3,0,"[50109.0, 52176.0, 56152.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_3,0,0,0,89,2.0,0,1,"[1.0, 1.0, 1.0]",6,4.42,4.68,0,0,1,0,0
8,11,13,TX,Natural Gas Fired Combined Cycle,4029.0,402.9,0.93,0,6,1,6,0,1.0,1.0,0,0,0.0,0,0,0,11965.0,12682.9,NG,0.02,0.05,7.66,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.47,0,-1,10,0,"[10554.0, 55091.0, 55091.0, 55091.0, 55091.0, 55091.0, 55091.0, 55168.0, 55230.0, 60122.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_4,0,0,0,89,2.0,0,1,"['10554_3ST1', 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 1.0, 1.0, 1.0]",6,3.45,3.66,0,0,1,0,0
9,13,16,TX,Natural Gas Fired Combined Cycle,1031.0,257.75,0.93,0,8,1,6,0,1.0,1.0,0,0,0.0,0,0,0,16001.0,16961.06,NG,0.17,0.22,7.95,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.59,0,-1,4,0,"[3443.0, 7900.0, 54817.0, 56233.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_5,0,0,0,89,2.0,0,1,"[1.0, 1.0, 1.0, 1.0]",6,4.42,4.68,0,0,1,0,0
