Time_Index,NG,None,coal,uranium
0,0.05,0.00,0.10,0.00
1,2.03,0.00,2.47,0.70
2,2.03,0.00,2.47,0.70
3,2.03,0.00,2.47,0.70
4,2.03,0.00,2.47,0.70
5,2.03,0.00,2.47,0.70
6,2.03,0.00,2.47,0.70
7,2.03,0.00,2.47,0.70
8,2.03,0.00,2.47,0.70
9,2.03,0.00,2.47,0.70
10,2.03,0.00,2.47,0.70
11,2.03,0.00,2.47,0.70
12,2.03,0.00,2.47,0.70
13,2.03,0.00,2.47,0.70
14,2.03,0.00,2.47,0.70
15,2.03,0.00,2.47,0.70
16,2.03,0.00,2.47,0.70
17,2.03,0.00,2.47,0.70
18,2.03,0.00,2.47,0.70
19,2.03,0.00,2.47,0.70
20,2.03,0.00,2.47,0.70
21,2.03,0.00,2.47,0.70
22,2.03,0.00,2.47,0.70
23,2.03,0.00,2.47,0.70
24,2.03,0.00,2.47,0.70
25,2.03,0.00,2.47,0.70
26,2.03,0.00,2.47,0.70
27,2.03,0.00,2.47,0.70
28,2.03,0.00,2.47,0.70
29,2.03,0.00,2.47,0.70
30,2.03,0.00,2.47,0.70
31,2.03,0.00,2.47,0.70
32,2.03,0.00,2.47,0.70
33,2.03,0.00,2.47,0.70
34,2.03,0.00,2.47,0.70
35,2.03,0.00,2.47,0.70
36,2.03,0.00,2.47,0.70
37,2.03,0.00,2.47,0.70
38,2.03,0.00,2.47,0.70
39,2.03,0.00,2.47,0.70
40,2.03,0.00,2.47,0.70
41,2.03,0.00,2.47,0.70
42,2.03,0.00,2.47,0.70
43,2.03,0.00,2.47,0.70
44,2.03,0.00,2.47,0.70
45,2.03,0.00,2.47,0.70
46,2.03,0.00,2.47,0.70
47,2.03,0.00,2.47,0.70
48,2.03,0.00,2.47,0.70
49,2.03,0.00,2.47,0.70
50,2.03,0.00,2.47,0.70
51,2.03,0.00,2.47,0.70
52,2.03,0.00,2.47,0.70
53,2.03,0.00,2.47,0.70
54,2.03,0.00,2.47,0.70
55,2.03,0.00,2.47,0.70
56,2.03,0.00,2.47,0.70
57,2.03,0.00,2.47,0.70
58,2.03,0.00,2.47,0.70
59,2.03,0.00,2.47,0.70
60,2.03,0.00,2.47,0.70
61,2.03,0.00,2.47,0.70
62,2.03,0.00,2.47,0.70
63,2.03,0.00,2.47,0.70
64,2.03,0.00,2.47,0.70
65,2.03,0.00,2.47,0.70
66,2.03,0.00,2.47,0.70
67,2.03,0.00,2.47,0.70
68,2.03,0.00,2.47,0.70
69,2.03,0.00,2.47,0.70
70,2.03,0.00,2.47,0.70
71,2.03,0.00,2.47,0.70
72,2.03,0.00,2.47,0.70
73,2.03,0.00,2.47,0.70
74,2.03,0.00,2.47,0.70
75,2.03,0.00,2.47,0.70
76,2.03,0.00,2.47,0.70
77,2.03,0.00,2.47,0.70
78,2.03,0.00,2.47,0.70
79,2.03,0.00,2.47,0.70
80,2.03,0.00,2.47,0.70
81,2.03,0.00,2.47,0.70
82,2.03,0.00,2.47,0.70
83,2.03,0.00,2.47,0.70
84,2.03,0.00,2.47,0.70
85,2.03,0.00,2.47,0.70
86,2.03,0.00,2.47,0.70
87,2.03,0.00,2.47,0.70
88,2.03,0.00,2.47,0.70
89,2.03,0.00,2.47,0.70
90,2.03,0.00,2.47,0.70
91,2.03,0.00,2.47,0.70
92,2.03,0.00,2.47,0.70
93,2.03,0.00,2.47,0.70
94,2.03,0.00,2.47,0.70
95,2.03,0.00,2.47,0.70
96,2.03,0.00,2.47,0.70
97,2.03,0.00,2.47,0.70
98,2.03,0.00,2.47,0.70
99,2.03,0.00,2.47,0.70
100,2.03,0.00,2.47,0.70
